id,name,english,source,slot_cost
2754,Salvo Jwl 3,Salvo Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2755,Precise Jwl 1,Precise Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2756,Precise Jwl 2,Precise Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2757,Capacity Jwl 1,Capacity Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2758,Capacity Jwl 3,Capacity Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2759,Irregular Jwl 1,Irregular Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2760,Thrift Jwl 1,Thrift Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2761,Thrift Jwl 2,Thrift Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2762,Expert Jwl 1,Expert Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2763,Expert Jwl 2,Expert Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2764,Expert Jwl 3,Expert Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2765,Tenderizer Jwl 1,Tenderizer Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2766,Tenderizer Jwl 3,Tenderizer Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2767,Chain Jwl 1,Chain Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2768,Chain Jwl 3,Chain Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2769,Crit Status Jwl 1,Crit Status Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2770,Crit Status Jwl 2,Crit Status Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2771,CritElementJwl 1,CritElementJwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2772,CritElementJwl 2,CritElementJwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2773,Critical Jwl 1,Critical Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2774,Critical Jwl 3,Critical Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2775,Negative Crit Jwl 1,Negative Crit Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2776,DUMMY Jewel 4,DUMMY Jewel 4,mhxx-romfs-game-array+mhxx-save-format-community+mhxx-romfs-native-table,1
2777,Negative Crit Jwl 3,Negative Crit Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2778,Charger Jwl 1,Charger Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2779,Charger Jwl 3,Charger Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2780,Sprinter Jwl 1,Sprinter Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2781,Sprinter Jwl 3,Sprinter Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2782,Physique Jwl 1,Physique Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2783,Physique Jwl 2,Physique Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2784,Refresh Jwl 1,Refresh Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2785,Refresh Jwl 2,Refresh Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2786,Distance Runner Jwl 1,Distance Runner Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2787,Distance Runner Jwl 2,Distance Runner Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2788,DUMMY Jewel 5,DUMMY Jewel 5,mhxx-romfs-game-array+mhxx-save-format-community+mhxx-romfs-native-table,1
2789,Evasion Jwl 1,Evasion Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2790,Evasion Jwl 2,Evasion Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2791,Jumping Jwl 1,Jumping Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2792,Jumping Jwl 3,Jumping Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2793,Bubble Jwl 1,Bubble Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2794,Bubble Jwl 3,Bubble Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2795,Ironwall Jwl 1,Ironwall Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2796,Ironwall Jwl 2,Ironwall Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2797,Shield Jwl 1,Shield Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2798,Shield Jwl 2,Shield Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2799,KO Jwl 1,KO Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2800,KO Jwl 2,KO Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2801,Drain Jwl 1,Drain Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2802,Drain Jwl 2,Drain Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2803,Sonorous Jwl 1,Sonorous Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2804,Artillery Jwl 1,Artillery Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2805,Destroyer Jwl 1,Destroyer Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2806,Destroyer Jwl 3,Destroyer Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2807,Bombardier Jwl 1,Bombardier Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2808,Throttle Jwl 1,Throttle Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2809,Throttle Jwl 2,Throttle Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2810,Spirit Jwl 1,Spirit Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2811,Spirit Jwl 2,Spirit Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2812,Flawless Jwl 1,Flawless Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2813,Flawless Jwl 2,Flawless Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
2814,Favor Jwl 1,Favor Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2815,Favor Jwl 3,Favor Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2816,Dragon Spirit Jwl 1,Dragon Spirit Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2817,DUMMY Jewel 6,DUMMY Jewel 6,mhxx-romfs-game-array+mhxx-save-format-community+mhxx-romfs-native-table,1
2818,Dragon Spirit Jwl 3,Dragon Spirit Jwl 3,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,3
2819,Potential Jwl 1,Potential Jwl 1,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,1
2820,Potential Jwl 2,Potential Jwl 2,mhxx-romfs-game-array+mhxx-dex-1.0+mhxx-save-format-community+mhxx-romfs-native-table,2
