id,name,english,source,generation_tier,generation_group,role,teachable,memory_cost,generation_weights
25,Negate Poison,Negate Poison,mhxx-save-format-community,1,C,generated,1,,7/4/8/4
26,Negate Wind,Negate Wind,mhxx-save-format-community,1,C,generated,1,,7/4/8/4
27,Negate Paralysis,Negate Paralysis,mhxx-save-format-community,1,C,generated,1,,7/3/8/4
28,Negate Stun,Negate Stun,mhxx-save-format-community,2,B,generated,1,,8/3/15/5
29,Negate Confusion,Negate Confusion,mhxx-save-format-community,1,C,generated,1,,7/4/8/4
30,Tremor Res,Tremor Res,mhxx-save-format-community,1,C,generated,1,,7/4/8/4
31,Earplugs,Earplugs,mhxx-save-format-community,2,B,generated,1,,8/3/15/5
32,Negate Sleep,Negate Sleep,mhxx-save-format-community,1,C,generated,1,,7/3/8/4
33,Biology,Biology,mhxx-save-format-community,1,C,generated,1,,5/3/8/4
34,Iron Hide,Iron Hide,mhxx-save-format-community,1,C,generated,1,,5/3/8/4
35,Non-Stick Fur,Non-Stick Fur,mhxx-save-format-community,1,C,generated,1,,5/3/8/15
36,Nine Lives (Attack),Nine Lives (Attack),mhxx-save-format-community,2,B,generated,1,,8/15/3/5
37,Nine Lives (Defense),Nine Lives (Defense),mhxx-save-format-community,1,C,generated,1,,5/3/8/10
38,Last Stand,Last Stand,mhxx-save-format-community,0,,innate,1,,
39,Anger Prone,Anger Prone,mhxx-save-format-community,3,A,generated,1,,15/25/5/5
40,Counter Boost,Counter Boost,mhxx-save-format-community,2,B,generated,1,,8/15/5/10
41,Monsterdar,Monsterdar,mhxx-save-format-community,0,,innate,1,,
42,Boomerang Pro,Boomerang Pro,mhxx-save-format-community,1,C,generated,1,,7/15/3/5
43,Pro Trapper,Pro Trapper,mhxx-save-format-community,0,,innate,1,,
44,Gathering Pro,Gathering Pro,mhxx-save-format-community,0,,innate,1,,
45,Slacker Slap,Slacker Slap,mhxx-save-format-community,0,,innate,1,,
46,Health Harmonics,Health Harmonics,mhxx-save-format-community,0,,innate,1,,
47,Goldenfish Catcher,Goldenfish Catcher,mhxx-save-format-community,1,C,generated,1,,7/3/2/10
48,Baddest Cat Ever,Baddest Cat Ever,mhxx-save-format-community,0,,special,1,,
49,High Cadence,High Cadence,mhxx-save-format-community,0,,special,1,,
50,World's Strongest,World's Strongest,mhxx-save-format-community,0,,special,1,,
51,Zombie,Zombie,mhxx-save-format-community,0,,special,1,,
52,Desperation,Desperation,mhxx-save-format-community,0,,special,1,,
53,Nagatobimaru,Nagatobimaru,mhxx-save-format-community,0,,special,1,,
54,Fanalis,Fanalis,mhxx-save-format-community,0,,special,1,,
55,Aera,Aera,mhxx-save-format-community,0,,special,1,,
56,Ranged Attack Up,Ranged Attack Up,mhxx-save-format-community,0,,special,1,,
57,Sonic Mini Bombay,Sonic Mini Bombay,mhxx-save-format-community,0,,special,1,,
58,Fashion Sense,Fashion Sense,mhxx-save-format-community,0,,special,1,,
59,Universal,Universal,mhxx-save-format-community,0,,special,1,,
60,Bento Jutsu,Bento Jutsu,mhxx-save-format-community,0,,special,1,,
61,Jugido,Jugido,mhxx-save-format-community,0,,special,1,,
62,Diva,Diva,mhxx-save-format-community,0,,special,1,,
63,Wind Waker,Wind Waker,mhxx-save-format-community,0,,special,1,,
64,Landmaster,Landmaster,mhxx-save-format-community,0,,special,1,,
65,Super Mushroom,Super Mushroom,mhxx-save-format-community,0,,special,1,,
66,Shopkeeping,Shopkeeping,mhxx-save-format-community,0,,special,1,,
67,Triforce,Triforce,mhxx-save-format-community,0,,special,1,,
68,Morph Ball Bomb,Morph Ball Bomb,mhxx-save-format-community,0,,special,1,,
69,Megaflare,Megaflare,mhxx-save-format-community,0,,special,1,,
70,DEF-centric,DEF-centric,mhxx-save-format-community,0,,special,1,,
71,STAM-centric,STAM-centric,mhxx-save-format-community,0,,special,1,,
72,Fire Res Up,Fire Res Up,mhxx-save-format-community,0,,special,1,,
73,Water Res Up,Water Res Up,mhxx-save-format-community,0,,special,1,,
74,Thunder Res Up,Thunder Res Up,mhxx-save-format-community,0,,special,1,,
75,Ice Res Up,Ice Res Up,mhxx-save-format-community,0,,special,1,,
76,Dragon Res Up,Dragon Res Up,mhxx-save-format-community,0,,special,1,,
77,Crit Boost,Crit Boost,mhxx-save-format-community,0,,innate,1,,
78,Recovery Up,Recovery Up,mhxx-save-format-community,0,,innate,1,,
79,Bombercat,Bombercat,mhxx-save-format-community,1,C,generated,1,,7/10/3/4
80,Angery,Angery,mhxx-save-format-community,2,B,generated,1,,8/15/3/10
81,Evasion Up,Evasion Up,mhxx-save-format-community,2,B,generated,1,,8/4/15/5
82,Trainer,Trainer,mhxx-save-format-community,0,,special,1,,
83,Water Up,Water Up,mhxx-save-format-community,0,,special,1,,
84,Ice Up,Ice Up,mhxx-save-format-community,0,,special,1,,
85,Dragon Up,Dragon Up,mhxx-save-format-community,0,,special,1,,
86,SP Extender,SP Extender,mhxx-save-format-community,0,,special,1,,
87,Weakness Exploit,Weakness Exploit,mhxx-save-format-community,0,,special,1,,
88,Ground Diver,Ground Diver,mhxx-save-format-community,0,,special,1,,
89,Moxie,Moxie,mhxx-save-format-community,0,,special,1,,
90,Beastly Cat,Beastly Cat,mhxx-save-format-community,0,,special,1,,
91,Misty Helper,Misty Helper,mhxx-save-format-community,0,,special,1,,
92,Lucky Protector,Lucky Protector,mhxx-save-format-community,0,,special,1,,
93,Bomb Transporter,Bomb Transporter,mhxx-save-format-community,0,,special,1,,
94,Defense Priority,Defense Priority,mhxx-save-format-community,0,,special,1,,
95,Rolling Boost,Rolling Boost,mhxx-save-format-community,0,,special,1,,
96,NULL [96],NULL [96],mhxx-save-format-community,0,,sentinel,0,,
