id,name,english,source,generation_tier,generation_group,role,teachable,memory_cost,generation_weights
30,挑发之技,Taunt,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
31,随从猫鼓舞之技,Palico Rally,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
32,肥料玉之技,Dung Bombay,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/2/14/15
33,应援舞蹈之技,"Go, Fight, Win",bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/3/10/15
34,治・大车轮之技,Soothing Roll,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/2/15/3
35,爆・大车轮之技,Explosive Roll,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
36,偷窃之技,Pilfer,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,10/5/5/20
37,远程偷窃之技,Plundering,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
38,猫突击之技,Felyne Comet,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
39,猫爪乱舞之技,Claw Dance,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/15/3/3
40,四股踏咚之技,Sumo Stomp,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
41,橡实大炮之技,Chestnut Cannon,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
42,回旋电虫发射之技,Shock Tripper,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/2/2/15
43,挖这里喵之技,Excavator,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
44,超级回旋镖之技,Mega Boomerang,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/15/3/3
45,猫式火龙车之技,Rath-of-Meow,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,3,A,generated,1,,15/25/5/5
46,野兽变化之技,Beast Mode,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,primary,0,,
47,强化咆哮之技,Power Roar,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,0,,secondary_fixed,1,,
48,猫式回复壶之技,Vase of Recovery,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,6/2/15/3
49,回家球之技,Purr-Caster,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/3/8/10
50,地底突击之技,Diving Attack,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,6/8/2/3
51,设置型炮台之技,Felyne Cannon,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,6/7/2/3
52,铁・滚滚喵之技,Wrecking Ball,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,6/7/2/3
53,爆・滚滚喵之技,Bombing Ride,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,5/7/2/3
54,猫式广域笛之技,Enhanced Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,1,C,generated,1,,6/2/14/10
55,SP笛之技,SP Horn,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,7/3/8/10
56,禁忌橡子之技,Acorn Sacrifice,bahamut-mhxx-palico-zh-tw+axibug-mhxx-wiki-zh-cn,2,B,generated,1,,8/4/8/10
57,NULL [57],NULL [57],mhxx-save-format-community,0,,sentinel,0,,
