equipment_type,weapon_id,save_level,display_level,slots,source
7,38,0,1,0,mhxx-romfs-native-table
7,38,1,2,0,mhxx-romfs-native-table
7,38,2,3,1,mhxx-romfs-native-table
7,38,3,4,1,mhxx-romfs-native-table
7,38,4,5,1,mhxx-romfs-native-table
7,38,5,6,1,mhxx-romfs-native-table
7,38,6,7,1,mhxx-romfs-native-table
7,39,0,1,0,mhxx-romfs-native-table
7,39,1,2,0,mhxx-romfs-native-table
7,39,2,3,0,mhxx-romfs-native-table
7,39,3,4,0,mhxx-romfs-native-table
7,39,4,5,0,mhxx-romfs-native-table
7,39,5,6,0,mhxx-romfs-native-table
7,39,6,7,0,mhxx-romfs-native-table
7,40,0,1,1,mhxx-romfs-native-table
7,40,1,2,1,mhxx-romfs-native-table
7,40,2,3,1,mhxx-romfs-native-table
7,40,3,4,1,mhxx-romfs-native-table
7,40,4,5,1,mhxx-romfs-native-table
7,40,5,6,1,mhxx-romfs-native-table
7,41,0,1,1,mhxx-romfs-native-table
7,41,1,2,1,mhxx-romfs-native-table
7,41,2,3,1,mhxx-romfs-native-table
7,41,3,4,1,mhxx-romfs-native-table
7,41,4,5,1,mhxx-romfs-native-table
7,41,5,6,1,mhxx-romfs-native-table
7,41,6,7,1,mhxx-romfs-native-table
7,42,0,1,1,mhxx-romfs-native-table
7,42,1,2,1,mhxx-romfs-native-table
7,42,2,3,1,mhxx-romfs-native-table
7,42,3,4,1,mhxx-romfs-native-table
7,42,4,5,1,mhxx-romfs-native-table
7,42,5,6,2,mhxx-romfs-native-table
7,42,6,7,2,mhxx-romfs-native-table
7,43,0,1,1,mhxx-romfs-native-table
7,43,1,2,2,mhxx-romfs-native-table
7,43,2,3,2,mhxx-romfs-native-table
7,43,3,4,2,mhxx-romfs-native-table
7,43,4,5,2,mhxx-romfs-native-table
7,43,5,6,2,mhxx-romfs-native-table
7,43,6,7,2,mhxx-romfs-native-table
7,43,7,8,2,mhxx-romfs-native-table
7,44,0,1,0,mhxx-romfs-native-table
7,44,1,2,0,mhxx-romfs-native-table
7,44,2,3,0,mhxx-romfs-native-table
7,44,3,4,0,mhxx-romfs-native-table
7,44,4,5,0,mhxx-romfs-native-table
7,44,5,6,0,mhxx-romfs-native-table
7,44,6,7,0,mhxx-romfs-native-table
7,44,7,8,0,mhxx-romfs-native-table
7,44,8,9,0,mhxx-romfs-native-table
7,45,0,1,0,mhxx-romfs-native-table
7,45,1,2,0,mhxx-romfs-native-table
7,45,2,3,0,mhxx-romfs-native-table
7,45,3,4,0,mhxx-romfs-native-table
7,45,4,5,0,mhxx-romfs-native-table
7,45,5,6,1,mhxx-romfs-native-table
7,45,6,7,2,mhxx-romfs-native-table
7,45,7,8,3,mhxx-romfs-native-table
7,46,0,1,1,mhxx-romfs-native-table
7,46,1,2,1,mhxx-romfs-native-table
7,46,2,3,2,mhxx-romfs-native-table
7,46,3,4,2,mhxx-romfs-native-table
7,46,4,5,2,mhxx-romfs-native-table
7,46,5,6,2,mhxx-romfs-native-table
7,46,6,7,2,mhxx-romfs-native-table
7,46,7,8,2,mhxx-romfs-native-table
7,47,0,1,0,mhxx-romfs-native-table
7,47,1,2,1,mhxx-romfs-native-table
7,47,2,3,1,mhxx-romfs-native-table
7,47,3,4,1,mhxx-romfs-native-table
7,47,4,5,1,mhxx-romfs-native-table
7,47,5,6,1,mhxx-romfs-native-table
7,47,6,7,1,mhxx-romfs-native-table
7,47,7,8,1,mhxx-romfs-native-table
7,48,0,1,1,mhxx-romfs-native-table
7,48,1,2,1,mhxx-romfs-native-table
7,48,2,3,2,mhxx-romfs-native-table
7,48,3,4,3,mhxx-romfs-native-table
7,48,4,5,3,mhxx-romfs-native-table
7,48,5,6,3,mhxx-romfs-native-table
7,48,6,7,3,mhxx-romfs-native-table
7,48,7,8,3,mhxx-romfs-native-table
7,48,8,9,3,mhxx-romfs-native-table
7,49,0,1,1,mhxx-romfs-native-table
7,49,1,2,1,mhxx-romfs-native-table
7,49,2,3,2,mhxx-romfs-native-table
7,49,3,4,2,mhxx-romfs-native-table
7,49,4,5,2,mhxx-romfs-native-table
7,49,5,6,2,mhxx-romfs-native-table
7,49,6,7,2,mhxx-romfs-native-table
7,49,7,8,2,mhxx-romfs-native-table
7,49,8,9,2,mhxx-romfs-native-table
7,50,0,1,0,mhxx-romfs-native-table
7,50,1,2,0,mhxx-romfs-native-table
7,50,2,3,0,mhxx-romfs-native-table
7,50,3,4,0,mhxx-romfs-native-table
7,50,4,5,0,mhxx-romfs-native-table
7,50,5,6,0,mhxx-romfs-native-table
7,50,6,7,0,mhxx-romfs-native-table
7,50,7,8,0,mhxx-romfs-native-table
7,50,8,9,0,mhxx-romfs-native-table
7,51,0,1,1,mhxx-romfs-native-table
7,51,1,2,1,mhxx-romfs-native-table
7,51,2,3,1,mhxx-romfs-native-table
7,51,3,4,1,mhxx-romfs-native-table
7,51,4,5,1,mhxx-romfs-native-table
7,51,5,6,1,mhxx-romfs-native-table
7,51,6,7,1,mhxx-romfs-native-table
7,51,7,8,1,mhxx-romfs-native-table
7,52,0,1,0,mhxx-romfs-native-table
7,52,1,2,2,mhxx-romfs-native-table
7,52,2,3,2,mhxx-romfs-native-table
7,52,3,4,2,mhxx-romfs-native-table
7,52,4,5,2,mhxx-romfs-native-table
7,52,5,6,2,mhxx-romfs-native-table
7,52,6,7,3,mhxx-romfs-native-table
7,52,7,8,3,mhxx-romfs-native-table
7,53,0,1,0,mhxx-romfs-native-table
7,53,1,2,0,mhxx-romfs-native-table
7,53,2,3,2,mhxx-romfs-native-table
7,53,3,4,2,mhxx-romfs-native-table
7,53,4,5,2,mhxx-romfs-native-table
7,53,5,6,2,mhxx-romfs-native-table
7,53,6,7,2,mhxx-romfs-native-table
7,53,7,8,2,mhxx-romfs-native-table
7,53,8,9,2,mhxx-romfs-native-table
7,54,0,1,0,mhxx-romfs-native-table
7,54,1,2,1,mhxx-romfs-native-table
7,54,2,3,1,mhxx-romfs-native-table
7,54,3,4,2,mhxx-romfs-native-table
7,54,4,5,2,mhxx-romfs-native-table
7,54,5,6,2,mhxx-romfs-native-table
7,54,6,7,2,mhxx-romfs-native-table
7,55,0,1,3,mhxx-romfs-native-table
7,55,1,2,3,mhxx-romfs-native-table
7,55,2,3,3,mhxx-romfs-native-table
7,55,3,4,3,mhxx-romfs-native-table
7,55,4,5,3,mhxx-romfs-native-table
7,56,0,1,0,mhxx-romfs-native-table
7,56,1,2,1,mhxx-romfs-native-table
7,56,2,3,1,mhxx-romfs-native-table
7,56,3,4,1,mhxx-romfs-native-table
7,56,4,5,1,mhxx-romfs-native-table
7,56,5,6,1,mhxx-romfs-native-table
7,56,6,7,1,mhxx-romfs-native-table
7,56,7,8,1,mhxx-romfs-native-table
7,56,8,9,1,mhxx-romfs-native-table
7,57,0,1,1,mhxx-romfs-native-table
7,57,1,2,1,mhxx-romfs-native-table
7,57,2,3,1,mhxx-romfs-native-table
7,57,3,4,1,mhxx-romfs-native-table
7,57,4,5,1,mhxx-romfs-native-table
7,57,5,6,1,mhxx-romfs-native-table
7,57,6,7,1,mhxx-romfs-native-table
7,57,7,8,1,mhxx-romfs-native-table
7,57,8,9,1,mhxx-romfs-native-table
7,58,0,1,1,mhxx-romfs-native-table
7,58,1,2,1,mhxx-romfs-native-table
7,58,2,3,1,mhxx-romfs-native-table
7,58,3,4,1,mhxx-romfs-native-table
7,58,4,5,1,mhxx-romfs-native-table
7,58,5,6,1,mhxx-romfs-native-table
7,58,6,7,1,mhxx-romfs-native-table
7,58,7,8,1,mhxx-romfs-native-table
7,58,8,9,1,mhxx-romfs-native-table
7,59,0,1,1,mhxx-romfs-native-table
7,59,1,2,1,mhxx-romfs-native-table
7,59,2,3,1,mhxx-romfs-native-table
7,59,3,4,1,mhxx-romfs-native-table
7,59,4,5,1,mhxx-romfs-native-table
7,59,5,6,1,mhxx-romfs-native-table
7,59,6,7,1,mhxx-romfs-native-table
7,59,7,8,1,mhxx-romfs-native-table
7,59,8,9,1,mhxx-romfs-native-table
7,60,0,1,1,mhxx-romfs-native-table
7,60,1,2,1,mhxx-romfs-native-table
7,60,2,3,1,mhxx-romfs-native-table
7,60,3,4,1,mhxx-romfs-native-table
7,60,4,5,1,mhxx-romfs-native-table
7,60,5,6,1,mhxx-romfs-native-table
7,60,6,7,1,mhxx-romfs-native-table
7,60,7,8,1,mhxx-romfs-native-table
7,60,8,9,1,mhxx-romfs-native-table
7,61,0,1,1,mhxx-romfs-native-table
7,61,1,2,1,mhxx-romfs-native-table
7,61,2,3,1,mhxx-romfs-native-table
7,61,3,4,1,mhxx-romfs-native-table
7,61,4,5,1,mhxx-romfs-native-table
7,61,5,6,1,mhxx-romfs-native-table
7,61,6,7,1,mhxx-romfs-native-table
7,62,0,1,1,mhxx-romfs-native-table
7,62,1,2,1,mhxx-romfs-native-table
7,62,2,3,1,mhxx-romfs-native-table
7,62,3,4,1,mhxx-romfs-native-table
7,62,4,5,1,mhxx-romfs-native-table
7,62,5,6,1,mhxx-romfs-native-table
7,62,6,7,1,mhxx-romfs-native-table
7,62,7,8,1,mhxx-romfs-native-table
7,63,0,1,0,mhxx-romfs-native-table
7,63,1,2,0,mhxx-romfs-native-table
7,63,2,3,0,mhxx-romfs-native-table
7,63,3,4,0,mhxx-romfs-native-table
7,63,4,5,0,mhxx-romfs-native-table
7,63,5,6,0,mhxx-romfs-native-table
7,63,6,7,0,mhxx-romfs-native-table
7,63,7,8,0,mhxx-romfs-native-table
7,64,0,1,2,mhxx-romfs-native-table
7,64,1,2,2,mhxx-romfs-native-table
7,64,2,3,3,mhxx-romfs-native-table
7,64,3,4,3,mhxx-romfs-native-table
7,64,4,5,3,mhxx-romfs-native-table
7,64,5,6,3,mhxx-romfs-native-table
7,65,0,1,0,mhxx-romfs-native-table
7,65,1,2,0,mhxx-romfs-native-table
7,65,2,3,0,mhxx-romfs-native-table
7,65,3,4,0,mhxx-romfs-native-table
7,65,4,5,0,mhxx-romfs-native-table
7,65,5,6,0,mhxx-romfs-native-table
7,66,0,1,2,mhxx-romfs-native-table
7,66,1,2,2,mhxx-romfs-native-table
7,66,2,3,2,mhxx-romfs-native-table
7,66,3,4,2,mhxx-romfs-native-table
7,66,4,5,2,mhxx-romfs-native-table
7,67,0,1,0,mhxx-romfs-native-table
7,67,1,2,0,mhxx-romfs-native-table
7,67,2,3,0,mhxx-romfs-native-table
7,67,3,4,0,mhxx-romfs-native-table
7,67,4,5,0,mhxx-romfs-native-table
7,68,0,1,1,mhxx-romfs-native-table
7,68,1,2,1,mhxx-romfs-native-table
7,68,2,3,1,mhxx-romfs-native-table
7,68,3,4,1,mhxx-romfs-native-table
7,68,4,5,1,mhxx-romfs-native-table
7,69,0,1,1,mhxx-romfs-native-table
7,69,1,2,1,mhxx-romfs-native-table
7,69,2,3,1,mhxx-romfs-native-table
7,69,3,4,1,mhxx-romfs-native-table
7,69,4,5,1,mhxx-romfs-native-table
7,69,5,6,1,mhxx-romfs-native-table
7,69,6,7,1,mhxx-romfs-native-table
7,70,0,1,2,mhxx-romfs-native-table
7,70,1,2,2,mhxx-romfs-native-table
7,70,2,3,2,mhxx-romfs-native-table
7,70,3,4,2,mhxx-romfs-native-table
7,70,4,5,2,mhxx-romfs-native-table
7,71,0,1,0,mhxx-romfs-native-table
7,71,1,2,0,mhxx-romfs-native-table
7,71,2,3,0,mhxx-romfs-native-table
7,71,3,4,0,mhxx-romfs-native-table
7,71,4,5,0,mhxx-romfs-native-table
7,72,0,1,0,mhxx-romfs-native-table
7,72,1,2,0,mhxx-romfs-native-table
7,72,2,3,0,mhxx-romfs-native-table
7,72,3,4,0,mhxx-romfs-native-table
7,72,4,5,0,mhxx-romfs-native-table
7,73,0,1,1,mhxx-romfs-native-table
7,73,1,2,1,mhxx-romfs-native-table
7,73,2,3,2,mhxx-romfs-native-table
7,73,3,4,2,mhxx-romfs-native-table
7,73,4,5,2,mhxx-romfs-native-table
7,74,0,1,0,mhxx-romfs-native-table
7,74,1,2,0,mhxx-romfs-native-table
7,74,2,3,0,mhxx-romfs-native-table
7,74,3,4,0,mhxx-romfs-native-table
7,74,4,5,0,mhxx-romfs-native-table
7,75,0,1,0,mhxx-romfs-native-table
7,75,1,2,0,mhxx-romfs-native-table
7,75,2,3,0,mhxx-romfs-native-table
7,76,0,1,0,mhxx-romfs-native-table
7,76,1,2,0,mhxx-romfs-native-table
7,76,2,3,0,mhxx-romfs-native-table
7,76,3,4,0,mhxx-romfs-native-table
7,76,4,5,0,mhxx-romfs-native-table
7,76,5,6,0,mhxx-romfs-native-table
7,77,0,1,1,mhxx-romfs-native-table
7,77,1,2,1,mhxx-romfs-native-table
7,77,2,3,1,mhxx-romfs-native-table
7,77,3,4,1,mhxx-romfs-native-table
7,77,4,5,1,mhxx-romfs-native-table
7,77,5,6,1,mhxx-romfs-native-table
7,78,0,1,0,mhxx-romfs-native-table
7,78,1,2,0,mhxx-romfs-native-table
7,78,2,3,0,mhxx-romfs-native-table
7,78,3,4,0,mhxx-romfs-native-table
7,78,4,5,0,mhxx-romfs-native-table
7,78,5,6,0,mhxx-romfs-native-table
7,78,6,7,0,mhxx-romfs-native-table
7,79,0,1,0,mhxx-romfs-native-table
7,79,1,2,0,mhxx-romfs-native-table
7,79,2,3,0,mhxx-romfs-native-table
7,79,3,4,0,mhxx-romfs-native-table
7,79,4,5,0,mhxx-romfs-native-table
7,80,0,1,0,mhxx-romfs-native-table
7,80,1,2,0,mhxx-romfs-native-table
7,80,2,3,0,mhxx-romfs-native-table
7,80,3,4,0,mhxx-romfs-native-table
7,80,4,5,0,mhxx-romfs-native-table
7,81,0,1,2,mhxx-romfs-native-table
7,81,1,2,2,mhxx-romfs-native-table
7,81,2,3,2,mhxx-romfs-native-table
7,81,3,4,3,mhxx-romfs-native-table
7,81,4,5,3,mhxx-romfs-native-table
7,81,5,6,3,mhxx-romfs-native-table
7,81,6,7,3,mhxx-romfs-native-table
7,81,7,8,3,mhxx-romfs-native-table
7,82,0,1,0,mhxx-romfs-native-table
7,82,1,2,0,mhxx-romfs-native-table
7,82,2,3,0,mhxx-romfs-native-table
7,82,3,4,0,mhxx-romfs-native-table
7,82,4,5,0,mhxx-romfs-native-table
7,82,5,6,1,mhxx-romfs-native-table
7,82,6,7,1,mhxx-romfs-native-table
7,83,0,1,0,mhxx-romfs-native-table
7,83,1,2,0,mhxx-romfs-native-table
7,83,2,3,0,mhxx-romfs-native-table
7,83,3,4,0,mhxx-romfs-native-table
7,83,4,5,0,mhxx-romfs-native-table
7,83,5,6,1,mhxx-romfs-native-table
7,83,6,7,1,mhxx-romfs-native-table
7,83,7,8,2,mhxx-romfs-native-table
7,84,0,1,0,mhxx-romfs-native-table
7,84,1,2,0,mhxx-romfs-native-table
7,84,2,3,0,mhxx-romfs-native-table
7,84,3,4,0,mhxx-romfs-native-table
7,84,4,5,0,mhxx-romfs-native-table
7,84,5,6,0,mhxx-romfs-native-table
7,85,0,1,0,mhxx-romfs-native-table
7,85,1,2,0,mhxx-romfs-native-table
7,85,2,3,0,mhxx-romfs-native-table
7,85,3,4,0,mhxx-romfs-native-table
7,85,4,5,0,mhxx-romfs-native-table
